TAXA_PC,Taxa,traits,current_model,clockmodel,medianRate,varianceRate
TAXA_60_PCs_2,60,2,ULNC_FBD_constant_rates,ULNC,0.003951830059598049,4.467691902399121e-4
TAXA_60_PCs_2,60,2,ULNC_FBD_skyline_age_uncertainty,ULNC,0.004202659036503768,6.444176183916708e-4
TAXA_60_PCs_2,60,2,ULNC_FBD_skyline,ULNC,0.004297429098045609,6.409730378639462e-4
TAXA_60_PCs_20,60,20,FBD_constant_rate_age_uncertainty,nCat,3.858734652035802e-6,2.2713016230970558e-4
TAXA_60_PCs_20,60,20,FBD_constant_rate_age_uncertainty_woffset,nCat,1.4923339847985592e-5,3.129478409239074e-4
TAXA_60_PCs_20,60,20,FBD_constant_rates,nCat,3.5189728986068134e-6,2.2238778008183842e-4
TAXA_60_PCs_20,60,20,FBD_skyline_age_uncertainty,nCat,7.999424356767524e-6,3.810909278412537e-4
TAXA_60_PCs_20,60,20,FBD_skyline,nCat,7.962200636055615e-6,3.981282807654697e-4
TAXA_60_PCs_20,60,20,ULNC_FBD_constant_rate_age_uncertainty,ULNC,2.473815048691507e-5,6.252752565159073e-9
TAXA_60_PCs_20,60,20,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,1.5359226386904443e-4,2.7834204957917515e-7
TAXA_60_PCs_20,60,20,ULNC_FBD_constant_rates,ULNC,2.494254847648015e-5,6.1273855281421664e-9
TAXA_60_PCs_20,60,20,ULNC_FBD_skyline_age_uncertainty,ULNC,5.821944327333472e-5,3.3337693816244036e-8
TAXA_60_PCs_20,60,20,ULNC_FBD_skyline,ULNC,5.8854230388102147e-05,3.4547292099092226e-8
TAXA_60_PCs_3,60,3,FBD_constant_rate_age_uncertainty,nCat,8.242532050622189e-4,9.882617049579144e-4
TAXA_60_PCs_3,60,3,FBD_constant_rate_age_uncertainty_woffset,nCat,6.544563824581499e-4,0.01628555663669596
TAXA_60_PCs_3,60,3,FBD_constant_rates,nCat,0.0010249660482662703,4.849338698782982e-4
TAXA_60_PCs_3,60,3,FBD_skyline_age_uncertainty,nCat,8.30843365025128e-5,0.007641601654989924
TAXA_60_PCs_3,60,3,FBD_skyline,nCat,0.005857636274946753,0.005790454194512981
TAXA_60_PCs_3,60,3,ULNC_FBD_constant_rate_age_uncertainty,ULNC,0.001854614565570436,6.550437443513543e-5
TAXA_60_PCs_3,60,3,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.005270123274687886,2.5515909567343936e-4
TAXA_60_PCs_3,60,3,ULNC_FBD_constant_rates,ULNC,0.0020294310870603407,7.688687645880147e-5
TAXA_60_PCs_3,60,3,ULNC_FBD_skyline_age_uncertainty,ULNC,0.0024034185245531627,1.4374042739827677e-4
TAXA_60_PCs_3,60,3,ULNC_FBD_skyline,ULNC,0.0024746871559513353,1.507712290762054e-4
TAXA_60_PCs_44,60,44,FBD_constant_rate_age_uncertainty,nCat,4.6586406555667894e-7,1.612646978279058e-6
TAXA_60_PCs_44,60,44,FBD_constant_rate_age_uncertainty_woffset,nCat,1.0326046551258148e-5,6.627540118583071e-6
TAXA_60_PCs_44,60,44,FBD_constant_rates,nCat,4.4801199462602446e-7,1.5629944859783636e-6
TAXA_60_PCs_44,60,44,FBD_skyline_age_uncertainty,nCat,1.1647427157528364e-6,3.853523172817494e-6
TAXA_60_PCs_44,60,44,FBD_skyline,nCat,1.204132119119769e-6,4.043751931600845e-6
TAXA_60_PCs_44,60,44,ULNC_FBD_constant_rate_age_uncertainty,ULNC,1.0494723033892744e-6,1.5195944182921498e-12
TAXA_60_PCs_44,60,44,ULNC_FBD_constant_rates,ULNC,9.996888088468839e-7,1.3924370074438407e-12
TAXA_60_PCs_44,60,44,ULNC_FBD_skyline_age_uncertainty,ULNC,3.7480668114511244e-6,2.3958311914118337e-11
TAXA_60_PCs_44,60,44,ULNC_FBD_skyline,ULNC,3.6938781537682336e-6,2.306235526746724e-11
TAXA_60_PCs_6,60,6,FBD_constant_rate_age_uncertainty,nCat,1.0358805177846059e-4,0.0023674554449027406
TAXA_60_PCs_6,60,6,FBD_constant_rate_age_uncertainty_woffset,nCat,2.613760262082264e-4,0.004531058820465109
TAXA_60_PCs_6,60,6,FBD_constant_rates,nCat,1.0073272776300543e-4,0.0028549783478031823
TAXA_60_PCs_6,60,6,FBD_skyline_age_uncertainty,nCat,5.580469992629991e-4,4.6509596279046455e-5
TAXA_60_PCs_6,60,6,FBD_skyline,nCat,6.644226961909089e-5,0.003970899082567636
TAXA_60_PCs_6,60,6,ULNC_FBD_constant_rate_age_uncertainty,ULNC,3.881006568694632e-4,2.0020536718661526e-6
TAXA_60_PCs_6,60,6,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.0013256150237548345,1.7510626498769434e-5
TAXA_60_PCs_6,60,6,ULNC_FBD_constant_rates,ULNC,3.8275996529554715e-4,2.017066375948085e-6
TAXA_60_PCs_6,60,6,ULNC_FBD_skyline_age_uncertainty,ULNC,5.671695800435316e-4,5.385959669082913e-6
TAXA_60_PCs_6,60,6,ULNC_FBD_skyline,ULNC,5.500030623134743e-4,5.231428759925448e-6
TAXA_60_PCs_9,60,9,FBD_constant_rate_age_uncertainty,nCat,1.6963481963578693e-5,0.00115323865232665
TAXA_60_PCs_9,60,9,FBD_constant_rate_age_uncertainty_woffset,nCat,1.467515279585539e-4,0.002857128285043236
TAXA_60_PCs_9,60,9,FBD_constant_rates,nCat,1.927918206383184e-5,0.0012540811236254436
TAXA_60_PCs_9,60,9,FBD_skyline_age_uncertainty,nCat,3.383282417320744e-5,0.0024398758598603762
TAXA_60_PCs_9,60,9,FBD_skyline,nCat,3.371841654602818e-5,0.0024055751245681007
TAXA_60_PCs_9,60,9,ULNC_FBD_constant_rate_age_uncertainty,ULNC,1.4503544821943022e-4,2.831937429396556e-7
TAXA_60_PCs_9,60,9,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,7.034644100224049e-4,5.4529435559355424e-6
TAXA_60_PCs_9,60,9,ULNC_FBD_constant_rates,ULNC,1.415467360355243e-4,2.6768363605809913e-7
TAXA_60_PCs_9,60,9,ULNC_FBD_skyline_age_uncertainty,ULNC,2.788784579622744e-4,1.112746983875779e-6
TAXA_60_PCs_9,60,9,ULNC_FBD_skyline,ULNC,2.762713644289006e-4,1.1223305154959156e-6
TAXA_87_PCs_10,87,10,FBD_constant_rate_age_uncertainty,nCat,4.8699352425017096e-5,5.939083975166125e-4
TAXA_87_PCs_10,87,10,FBD_constant_rate_age_uncertainty_woffset,nCat,1.2384977527850585e-4,0.001967605418068254
TAXA_87_PCs_10,87,10,FBD_constant_rates,nCat,1.0373784921874029e-4,9.555668958052238e-5
TAXA_87_PCs_10,87,10,FBD_skyline_age_uncertainty,nCat,5.385550811831922e-4,4.599499369092999e-4
TAXA_87_PCs_10,87,10,FBD_skyline,nCat,3.435330228045593e-5,0.0016732221659901522
TAXA_87_PCs_10,87,10,ULNC_FBD_constant_rate_age_uncertainty,ULNC,6.734609465745906e-5,9.556205533893636e-8
TAXA_87_PCs_10,87,10,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,5.165150381499738e-4,2.6720426034800776e-6
TAXA_87_PCs_10,87,10,ULNC_FBD_constant_rates,ULNC,6.732659407782792e-5,9.507401128946984e-8
TAXA_87_PCs_10,87,10,ULNC_FBD_skyline_age_uncertainty,ULNC,1.5846674394952694e-4,5.275211400586482e-7
TAXA_87_PCs_10,87,10,ULNC_FBD_skyline,ULNC,1.7519819583656436e-4,6.654932556018263e-7
TAXA_87_PCs_2,87,2,FBD_constant_rate_age_uncertainty,nCat,1.1591400628037378e-4,0.011766373137749586
TAXA_87_PCs_2,87,2,FBD_constant_rate_age_uncertainty_woffset,nCat,3.7831699697550634e-4,0.012295565118178626
TAXA_87_PCs_2,87,2,FBD_constant_rates,nCat,5.820358201604763e-5,0.006651728690534349
TAXA_87_PCs_2,87,2,FBD_skyline_age_uncertainty,nCat,3.840309756065548e-5,0.0074242119897320255
TAXA_87_PCs_2,87,2,FBD_skyline,nCat,3.894176984616662e-5,0.008043442445270572
TAXA_87_PCs_2,87,2,ULNC_FBD_constant_rate_age_uncertainty,ULNC,0.0037982437386363415,4.0067347347642776e-4
TAXA_87_PCs_2,87,2,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.008986059870345432,0.0018056553027064378
TAXA_87_PCs_2,87,2,ULNC_FBD_constant_rates,ULNC,0.003626523309633911,3.61882360867614e-4
