row_ID,Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,length_cm,width_cm,area_cm2,perimeter_cm,calliper_cm,circularity,eccentricityeigen,AD,BC,amp,sym,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax,Event
43,TS2,FMag,IBA,LapadosCoelhos3,Gameiro2012,AR,D,TS2_FMag_IBA_LapadosCoelhos3_Gameiro2012_AR_d_1,TS2_FMag_IBA_LapadosCoelhos3_Gameiro2012_AR_d_1_pseudo_no_2,0.024186,2,2,-8.6154,39.5046,2.07,0.51,0.76,4.37,2.07,2.35,0.09,0.072786067623979,2.1375249669496,2.21031103457358,0.032930237638714,13518,13463,13589,GI-1
44,TS23,EAzil,CH,GrottedeBichon,Chauviere2008,AR,D,TS23_EAzil_CH_GrottedeBichon_Chauviere2008_AR_d_1,TS23_EAzil_CH_GrottedeBichon_Chauviere2008_AR_d_1_pseudo_no_5,0.020198,2,3,6.849723,47.149998,3.48,0.99,2.49,7.67,3.49,2.45,0.12,0.177133293077175,2.24464696956519,2.42178026264237,0.073141769222245,13463,13254,13759,GI-1
45,TS2,Feder,BSN,WestelbeersZW,Snijders2000,AR,D,TS2_Feder_BSN_WestelbeersZW_Snijders2000_AR_D_1,TS2_Feder_BSN_WestelbeersZW_Snijders2000_AR_D_1_pseudo_no_3,NA,2,2,5.21,51.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13384,13325,13441,GI-1
46,TS23,AzilTECE,ASH,Seewaende,Gehlen2001,AR,P,TS23_AzilTECE_ASH_Seewaende_Gehlen2001_AR_p_1,TS23_AzilTECE_ASH_Seewaende_Gehlen2001_AR_p_1_pseudo_no_1,0.003484,2,3,10.592923,47.571749,1.49,0.54,0.54,3.41,1.5,2.84,0.18,0.616493977300376,2.14574578816621,2.76223976546659,0.223186265366157,13382,13117,13596,GI-1
47,TS2,EpiMag,BOMO,Kulna4,Valoch1998,AR,D,TS2_EpiMag_BOMO_Kulna4_Valoch1998_AR_d_1,TS2_EpiMag_BOMO_Kulna4_Valoch1998_AR_d_1_pseudo_no_6,0.022898,2,2,16.737777,49.408333,3.52,0.72,1.98,7.55,3.52,2.14,0.07,0.242529099680684,2.08615743050916,2.32868653018985,0.104148453016951,13346,12994,13761,GI-1
48,TS3,LEpigrav,NEI,RiparoDalmeripossiblylayer15,AgogueDalmeri2005,AR,NA,TS3_LEpigrav_NEI_RiparoDalmeripossiblylayer15_AgogueDalmeri2005_AR_na_2,TS3_LEpigrav_NEI_RiparoDalmeripossiblylayer15_AgogueDalmeri2005_AR_na_2_pseudo_no_5,NA,3,3,11.6021,45.99347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13326,13245,13407,GI-1
49,TS2,AzilTECE,ASH,Elsbethen,Rettenbacher1998,AR,NA,TS2_AzilTECE_ASH_Elsbethen_Rettenbacher1998_AR_na_1,TS2_AzilTECE_ASH_Elsbethen_Rettenbacher1998_AR_na_1_pseudo_no_1,0.006368,2,2,13.086104,47.763351,3.88,1.02,2.77,8.46,3.88,2.36,0.1,0.208893000107474,2.18684038266669,2.39573338277416,0.08719375937634,13268,12929,13593,GI-1
50,TS2,Feder,BSN,Rekem,DeBieCaspar2000,AR,P,TS2_Feder_BSN_Rekem_DeBieCaspar2000_AR_P_1,TS2_Feder_BSN_Rekem_DeBieCaspar2000_AR_P_1_pseudo_no_1,NA,2,2,5.69,50.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13245,13100,13395,GI-1
51,TS2,EMag,IBM,Roureda,Roman2012,AR,NA,TS2_EMag_IBM_Roureda_Roman2012_AR_na_1,TS2_EMag_IBM_Roureda_Roman2012_AR_na_1_pseudo_no_4,0.026312,2,2,-0.23087,40.42109,3.44,0.79,2.12,7.46,3.44,2.24,0.09,0.313042067684539,2.15177651243393,2.46481858011847,0.127004100914191,13234,13173,13298,GI-1
52,TS2,Wito,PL,NowaBiala1,ValdeKraszewska2015,AR,D,TS2_Wito_PL_NowaBiala1_ValdeKraszewska2015_AR_d_1,TS2_Wito_PL_NowaBiala1_ValdeKraszewska2015_AR_d_1_pseudo_no_1,0.005226,2,2,20.12488947,49.42907421,3.78,1.37,3.18,8.63,3.78,2.8,0.16,0.520813435948368,2.31112442056095,2.83193785650932,0.18390708494936,13166,13104,13230,GI-1
53,TS4,AzilTSG,ASH,Unken,Windisch2014,AR,D,TS4_AzilTSG_ASH_Unken_Windisch2014_AR_d_1,TS4_AzilTSG_ASH_Unken_Windisch2014_AR_d_1_pseudo_no_1,0.004556,4,4,12.730152,47.644134,2.93,0.85,1.63,6.4,2.93,2.38,0.11,0.351005688495616,2.17653646758695,2.52754215608257,0.138872337955241,13157,12736,13590,GI-1
54,TS3,AFeder,GBS,MotherGrundysParlour,Armstrong1925,AR,NA,TS3_AFeder_GBS_MotherGrundysParlour_Armstrong1925_AR_na_1,TS3_AFeder_GBS_MotherGrundysParlour_Armstrong1925_AR_na_1_pseudo_no_5,0.027017,3,3,-1.196651,53.262352,2.74,0.74,1.54,5.87,2.74,2.54,0.12,0.061864014120746,2.13029982858566,2.19216384270641,0.028220524814591,13149,12923,13318,GI-1
55,TS3,LEpigrav,NEI,RiparoDalmeriUpperlayers,Bassettietal1998,AR,NA,TS3_LEpigrav_NEI_RiparoDalmeriUpperlayers_Bassettietal1998_AR_na_1,TS3_LEpigrav_NEI_RiparoDalmeriUpperlayers_Bassettietal1998_AR_na_1_pseudo_no_21,NA,3,3,11.6021,45.99347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13075,12922,13231,GI-1
56,TS3,Wito,PL,Rotnowo18ll,Galinski2007,AR,P,TS3_Wito_PL_Rotnowo18ll_Galinski2007_AR_p_1,TS3_Wito_PL_Rotnowo18ll_Galinski2007_AR_p_1_pseudo_no_1,0.004839,3,3,15.30020125,53.88613193,3.83,1.14,3.06,8.39,3.83,2.57,0.13,0.507502050901152,2.14605261081807,2.65355466171923,0.191253663707211,13003,12927,13093,GI-1
57,TS3,Brom,SS,Trollesgave,Fischer1990,AR,NA,TS3_Brom_SS_Trollesgave_Fischer1990_AR_na_1,TS3_Brom_SS_Trollesgave_Fischer1990_AR_na_1_pseudo_no_3,0.009707,3,3,11.81,55.28,5.02,1.95,6.08,11.25,5.02,3.16,0.19,0.309886820856213,2.22100445971223,2.53089128056844,0.122441775051914,12898,12729,13087,GS-1
58,TS2,Feder,BSN,MilheezeHutseberg2,Rozoy1978,AR,P,TS2_Feder_BSN_MilheezeHutseberg2_Rozoy1978_AR_P_1,TS2_Feder_BSN_MilheezeHutseberg2_Rozoy1978_AR_P_1_pseudo_no_1,0.023667,2,2,5.81,51.51,3.6,1.03,2.32,7.74,3.61,2.42,0.1,0.230722402418781,2.14273738515521,2.37345978757399,0.097209315964275,12842,12726,12959,GS-1
59,TS3,Wito,PL,Witow5Cassemblage1,Chmielewska1978,AR,D,TS3_Wito_PL_Witow5Cassemblage1_Chmielewska1978_AR_d_2,TS3_Wito_PL_Witow5Cassemblage1_Chmielewska1978_AR_d_2_pseudo_no_1,0.003619,3,3,19.51750195,52.01168707,2.53,1.06,1.96,6.01,2.54,3.22,0.24,0.158048817870575,2.30232160102179,2.46037041889236,0.064237814215685,12789,12624,12963,GS-1
60,TS3,Brom,PL,Rotnowo18,Galinski2007,AR,D,TS3_Brom_PL_Rotnowo18_Galinski2007_AR_d_1,TS3_Brom_PL_Rotnowo18_Galinski2007_AR_d_1_pseudo_no_1,0.008746,3,3,15.30020125,53.88613193,6.74,2.01,8.34,14.71,6.74,2.52,0.11,0.224487259280158,2.1892491757916,2.41373643507176,0.093004048005549,12775,12727,12824,GS-1
61,TS3,Brom,SS,Bromme,Mathiassen1946p1,AR,NA,TS3_Brom_SS_Bromme_Mathiassen1946p1_AR_na_1,TS3_Brom_SS_Bromme_Mathiassen1946p1_AR_na_1_pseudo_no_5,0.020404,3,3,11.5,55.49,9.4,3.9,24.93,21.68,9.4,3.46,0.24,0.280101432725763,2.29546685690128,2.57556828962705,0.108753254127975,12704,12624,12755,GS-1
